"ID","Symbol","MeanExpression","Metagene","Module","Chromosome","Description"
"Vitvi19g02086","",0.940015310436497,"27 x 9",""," ",""
"Vitvi19g01522","Vitvi19g01522",3.31180398280596,"27 x 9","","19 ","Cleavage of the 5'-cap of a nuclear mRNA triggered by shortening of the poly(A) tail to below a minimum functional length."
"Vitvi07g01262","Vitvi07g01262",2.51774203218001,"28 x 9","","7 ","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi01g01563","Vitvi01g01563",4.19956408089431,"28 x 9","","1 ","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi06g01021","Vitvi06g01021",2.81797006392265,"28 x 9","","6 ","Binding to a protein."
"Vitvi12g00064","Vitvi12g00064",3.63370378977146,"28 x 9","","12 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi15g01469","Vitvi15g01469",3.35887431912563,"28 x 9","","15 ",""
"Vitvi15g00349","Vitvi15g00349",2.89427859566009,"28 x 9","","15 ","A transcription coregulator activity that represses or decreases the transcription of specific gene sets via binding to a DNA-bound DNA-binding transcription factor, either on its own or as part of a complex. Corepressors often act by altering chromatin structure and modifications. For example, one class of transcription corepressors modifies chromatin structure through covalent modification of histones. A second class remodels the conformation of chromatin in an ATP-dependent fashion. A third class modulates interactions of DNA-bound DNA-binding transcription factors with other transcription coregulators."
"Vitvi00g00775","",2.43642432489219,"29 x 9",""," ",""
"Vitvi02g01809","Vitvi02g01809",2.43620098223617,"29 x 9","","Un ",""
"Vitvi12g00772","Vitvi12g00772",2.8534635061028,"29 x 9","","12 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g00528","Vitvi15g00528",1.2411084098674,"29 x 9","","15 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00081","Vitvi18g00081",1.11484413340841,"29 x 9","","18 ","Binding to a protein."
"Vitvi04g00280","Vitvi04g00280",2.51973848954831,"30 x 9","","4 ","The chemical reactions and pathways resulting in the breakdown of RNA, ribonucleic acid, one of the two main type of nucleic acid, consisting of a long, unbranched macromolecule formed from ribonucleotides joined in 3',5'-phosphodiester linkage."
"Vitvi06g00185","Vitvi06g00185",1.36543727935083,"30 x 9","","6 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi09g00027","Vitvi09g00027",3.30227142389984,"30 x 9","","9 ","Functions in the initiation of ribosome-mediated translation of mRNA into a polypeptide."
"Vitvi12g02467","Vitvi12g02467",1.05599757642652,"30 x 9","","12 ",""
"Vitvi13g01770","Vitvi13g01770",4.19365070054859,"30 x 9","","14 ","Binding to a metal ion."
"Vitvi15g00360","Vitvi15g00360",1.03628159122905,"30 x 9","","15 ","Catalysis of the reaction: 3-hydroxy-2-methylpropanoyl-CoA + H2O = CoA + 3-hydroxy-2-methylpropanoate."
"Vitvi17g00285","Vitvi17g00285",2.61003861492784,"30 x 9","","17 ",""
"Vitvi02g00462","Vitvi02g00462",1.62693509970627,"31 x 9","","2 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi05g01570","",2.50919135309054,"31 x 9",""," ",""
"Vitvi12g00709","Vitvi12g00709",3.37672039450867,"31 x 9","","12 ","Any process that modulates the frequency, rate or extent of transcription mediated by RNA polymerase II."
"Vitvi18g01038","Vitvi18g01038",0.834499719748971,"31 x 9","","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g01632","Vitvi18g01632",3.26041298682672,"31 x 9","","18 ","The chemical reactions and pathways involving carbohydrates, any of a group of organic compounds based of the general formula Cx(H2O)y."
"Vitvi02g00685","Vitvi02g00685",3.71781362387559,"32 x 9","","2 ",""
"Vitvi03g01047","Vitvi03g01047",3.6583785704475,"32 x 9","","3 ","Binding to a zinc ion (Zn)."
"Vitvi04g00336","Vitvi04g00336",3.59271517796642,"32 x 9","","4 ","Binding to a protein."
"Vitvi05g00977","Vitvi05g00977",3.64385620557655,"32 x 9","","5 ","Catalysis of the geometric or structural changes within one molecule. Isomerase is the systematic name for any enzyme of EC class 5."
"Vitvi07g00737","Vitvi07g00737",3.02565268305224,"32 x 9","","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01854","Vitvi08g01854",3.3814248709121,"32 x 9","","8 ","An thiol-dependent isopeptidase activity that cleaves ubiquitin from a target protein to which it is conjugated."
"Vitvi09g00482","Vitvi09g00482",3.22563040258199,"32 x 9","","9 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g01608","Vitvi10g01608",2.83136942632553,"32 x 9","","10 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00055","Vitvi11g00055",3.66215642143088,"32 x 9","","11 ","The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."
"Vitvi12g01812","Vitvi12g01812",2.3400408398912,"32 x 9","","12 ","Catalysis of the transfer of a glycosyl group from a UDP-sugar to a small hydrophobic molecule."
"Vitvi15g00783","Vitvi15g00783",3.75648139488109,"32 x 9","","15 ","Catalysis of an oxidation-reduction (redox) reaction in which a CH-OH group acts as a hydrogen or electron donor and reduces NAD+ or NADP."
"Vitvi01g00513","Vitvi01g00513",1.28824764036781,"33 x 9","","1 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00454","Vitvi03g00454",4.06949139179698,"33 x 9","","3 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g01988","Vitvi07g01988",4.71436280342944,"33 x 9","","7 ","The cellular metabolic process in which a protein is formed, using the sequence of a mature mRNA or circRNA molecule to specify the sequence of amino acids in a polypeptide chain. Translation is mediated by the ribosome, and begins with the formation of a ternary complex between aminoacylated initiator methionine tRNA, GTP, and initiation factor 2, which subsequently associates with the small subunit of the ribosome and an mRNA or circRNA. Translation ends with the release of a polypeptide chain from the ribosome."
"Vitvi13g01650","Vitvi13g01650",5.44935415469698,"33 x 9","","13 ","The action of a molecule that contributes to the structural integrity of the ribosome."
"Vitvi14g01722","Vitvi14g01722",2.43981781491996,"33 x 9","","14 ","Catalysis of the reaction: ATP + H2O = ADP + H+ phosphate. ATP hydrolysis is used in some reactions as an energy source, for example to catalyze a reaction or drive transport against a concentration gradient."
"Vitvi17g00468","Vitvi17g00468",2.1071245693427,"33 x 9","","17 ","The inner, i.e. lumen-facing, lipid bilayer of the mitochondrial envelope. It is highly folded to form cristae."
"Vitvi19g00140","Vitvi19g00140",4.05176873257173,"33 x 9","","19 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00610","Vitvi04g00610",5.15285671529613,"34 x 9","","4 ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of oxidative stress, a state often resulting from exposure to high levels of reactive oxygen species, e.g. superoxide anions, hydrogen peroxide (H2O2), and hydroxyl radicals."
"Vitvi04g02109","Vitvi04g02109",2.44803772780714,"34 x 9","","4 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi09g00022","Vitvi09g00022",1.33020536085243,"34 x 9","","9 ",""
"Vitvi13g01007","Vitvi13g01007",4.1478561218645,"34 x 9","","13 ",""
"Vitvi19g01774","Vitvi19g01774",3.78392804455678,"34 x 9","","19 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g00572","Vitvi02g00572",3.47149571274269,"35 x 9","","2 ","The chemical reactions and pathways resulting in the formation of substances; typically the energy-requiring part of metabolism in which simpler substances are transformed into more complex ones."
"Vitvi01g00937","Vitvi01g00937",4.25815755001812,"35 x 9","","1 ","Binding to a zinc ion (Zn)."
"Vitvi04g00046","Vitvi04g00046",4.54845574402622,"35 x 9","","4 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi04g00623","Vitvi04g00623",4.67004715555101,"35 x 9","","4 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi06g00906","Vitvi06g00906",1.59444619552426,"35 x 9","","6 ","Catalysis of the transfer of ubiquitin from one protein to another via the reaction X-Ub + Y --> Y-Ub + X, where both X-Ub and Y-Ub are covalent linkages."
"Vitvi08g01577","Vitvi08g01577",3.46048678706375,"35 x 9","","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g01615","Vitvi10g01615",0.656507373722623,"35 x 9","","10 ",""
"Vitvi13g02419","Vitvi13g02419",2.56789883697536,"35 x 9","","13 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi14g01454","Vitvi14g01454",4.50600500472049,"35 x 9","","14 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00793","Vitvi18g00793",3.77445729497402,"35 x 9","","18 ","A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
"Vitvi11g01203","Vitvi11g01203",2.96550642808263,"36 x 9","","11 ","Binding to messenger RNA (mRNA), an intermediate molecule between DNA and protein. mRNA includes UTR and coding sequences, but does not contain introns."
"Vitvi12g00260","Vitvi12g00260",4.32449498029117,"36 x 9","","12 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi13g00248","",2.14543476652598,"36 x 9",""," ",""
"Vitvi14g01751","Vitvi14g01751",4.4119063401806,"36 x 9","","14 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi15g01389","Vitvi15g01389",2.20850557183254,"36 x 9","","15 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi15g00447","Vitvi15g00447",1.68966788833011,"36 x 9","","15 ","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi02g00502","Vitvi02g00502",5.39712678825279,"37 x 9","","2 ","Functions in chain elongation during polypeptide synthesis at the ribosome."
"Vitvi04g00232","Vitvi04g00232",4.02081289527709,"37 x 9","","4 ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi07g01956","Vitvi07g01956",3.50567272740505,"37 x 9","","7 ",""
"Vitvi08g01297","Vitvi08g01297",3.05826541710489,"37 x 9","","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01387","Vitvi08g01387",2.68205707636002,"37 x 9","","8 ","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi11g00368","Vitvi11g00368",4.86367890543759,"37 x 9","","11 ","Binding to a metal ion."
"Vitvi12g02192","Vitvi12g02192",2.42822112695869,"37 x 9","","12 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi12g00095","Vitvi12g00095",4.39720117561847,"37 x 9","","12 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi16g00181","Vitvi16g00181",3.50930569821411,"37 x 9","","16 ","Binding to an iron (Fe) ion."
"Vitvi18g02431","Vitvi18g02431",3.84134004500981,"37 x 9","","18 ","The pigmented membrane of a chloroplast thylakoid. An example of this component is found in Arabidopsis thaliana."
"Vitvi06g00563","Vitvi06g00563",3.56995361195086,"38 x 9","","6 ",""
"Vitvi06g01126","",4.38396920395616,"38 x 9",""," ",""
"Vitvi12g01818","Vitvi12g01818",4.3754682425328,"38 x 9","","12 ",""
"Vitvi13g01385","Vitvi13g01385",4.48634879428743,"38 x 9","","13 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi18g00031","Vitvi18g00031",3.16252784343593,"38 x 9","","18 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi19g01479","Vitvi19g01479",8.28184845984624,"38 x 9","","19 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00297","Vitvi04g00297",3.09471135598662,"39 x 9","","4 ","A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
"Vitvi06g00318","Vitvi06g00318",4.09942584830923,"39 x 9","","6 ",""
"Vitvi06g00331","Vitvi06g00331",4.59844364812824,"39 x 9","","6 ",""
"Vitvi14g02495","Vitvi14g02495",1.78425767639466,"39 x 9","","14 ",""
"Vitvi15g00828","Vitvi15g00828",3.72911317984592,"39 x 9","","15 ","Binding to a protein."
"Vitvi18g00835","Vitvi18g00835",4.1173020131122,"39 x 9","","18 ","A chlorophyll-containing plastid with thylakoids organized into grana and frets, or stroma thylakoids, and embedded in a stroma."
"Vitvi00g02033","",1.99807440253179,"40 x 9",""," ",""
"Vitvi10g02308","Vitvi10g02308",1.99763024122387,"40 x 9","","Un ","Any molecular function by which a gene product interacts selectively and non-covalently with DNA (deoxyribonucleic acid)."
"Vitvi03g00381","Vitvi03g00381",1.4231691708683,"40 x 9","","3 ","The process in which a signal is passed on to downstream components within the cell, which become activated themselves to further propagate the signal and finally trigger a change in the function or state of the cell."
"Vitvi03g00319","Vitvi03g00319",2.17374775631812,"40 x 9","","3 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g01390","Vitvi04g01390",5.46498202267589,"40 x 9","","4 ","Catalysis of the reaction: a protein with reduced sulfide groups = a protein with oxidized disulfide bonds."
"Vitvi06g00378","Vitvi06g00378",1.29911229762693,"40 x 9","","6 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi06g00674","Vitvi06g00674",2.38423451809538,"40 x 9","","6 ","A process that is carried out at the cellular level which results in the assembly, arrangement of constituent parts, or disassembly of the chloroplast."
"Vitvi07g01697","Vitvi07g01697",1.40593705628427,"40 x 9","","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g01774","Vitvi08g01774",0.621667587611534,"40 x 9","","8 ","The cell membranes and intracellular regions in a plant are connected through plasmodesmata, and plants may be described as having two major compartments: the living symplast and the non-living apoplast. The apoplast is external to the plasma membrane and includes cell walls, intercellular spaces and the lumen of dead structures such as xylem vessels. Water and solutes pass freely through it."
"Vitvi13g00604","Vitvi13g00604",3.06799730370885,"40 x 9","","13 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi15g00771","Vitvi15g00771",1.94248871507444,"40 x 9","","15 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a catalytic mechanism that involves a catalytic triad consisting of a serine nucleophile that is activated by a proton relay involving an acidic residue (e.g. aspartate or glutamate) and a basic residue (usually histidine)."
"Vitvi15g00906","Vitvi15g00906",1.00375620567435,"40 x 9","","15 ","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi01g00653","Vitvi01g00653",3.84935303788275,"1 x 10","","1 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi00g01665","",0.963177494747594,"1 x 10",""," ",""
"Vitvi16g02141","",0.962541303923761,"1 x 10",""," ",""
"Vitvi00g00328","",3.55323563276998,"1 x 10",""," ",""
"Vitvi10g02249","",3.55300090510594,"1 x 10",""," ",""
"Vitvi00g00710","",3.28133695238005,"1 x 10",""," ",""
"Vitvi00g02152","",4.57763842590049,"1 x 10",""," ",""
"Vitvi10g02386","Vitvi10g02386",4.57714884084415,"1 x 10","","10 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi01g01990","Vitvi01g01990",1.34832464156,"1 x 10","","1 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g01265","",2.61613949509051,"1 x 10",""," ",""
"Vitvi05g00138","Vitvi05g00138",2.06399814446155,"1 x 10","","5 ","Isoenergetic transfer of ubiquitin from one protein to another via the reaction X-ubiquitin + Y -> Y-ubiquitin + X, where both the X-ubiquitin and Y-ubiquitin linkages are thioester bonds between the C-terminal glycine of ubiquitin and a sulfhydryl side group of a cysteine residue."
"Vitvi05g00072","Vitvi05g00072",1.0047985100976,"1 x 10","","5 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi07g01807","Vitvi07g01807",1.65032912384649,"1 x 10","","7 ","Any process that modulates the frequency, rate or extent of cellular DNA-templated transcription."
"Vitvi07g00130","Vitvi07g00130",0.931291923463202,"1 x 10","","7 ","Binding to a magnesium (Mg) ion."
"Vitvi08g02220","Vitvi08g02220",0.885674428735824,"1 x 10","","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00572","Vitvi10g00572",3.12637345992088,"1 x 10","","10 ","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi11g00165","Vitvi11g00165",0.995454059641933,"1 x 10","","11 ","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi12g02544","",1.96484807629078,"1 x 10",""," ",""
"Vitvi13g00071","Vitvi13g00071",2.78109634245324,"1 x 10","","13 ","Catalysis of the reaction: protein serine phosphate + H2O = protein serine + phosphate, and protein threonine phosphate + H2O = protein threonine + phosphate."
"Vitvi16g00824","",0.541433760685763,"1 x 10",""," ",""
"Vitvi16g01987","",0.713861537763465,"1 x 10",""," ",""
"Vitvi16g01239","",0.769905789279361,"1 x 10",""," ",""
"Vitvi17g01350","Vitvi17g01350",3.11897876364669,"1 x 10","","17 ","Binding to a metal ion."
"Vitvi17g00258","Vitvi17g00258",1.2766067150983,"1 x 10","","17 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi18g02837","Vitvi18g02837",3.37235685198092,"1 x 10","","18 ",""
"Vitvi19g01824","Vitvi19g01824",3.45167803589103,"1 x 10","","19 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi10g01207","Vitvi10g01207",1.18791872100494,"2 x 10","","10 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi00g01667","",1.15281835874504,"2 x 10",""," ",""
"Vitvi16g02137","",1.15250523228114,"2 x 10",""," ",""
"Vitvi05g01961","",1.49854764116966,"2 x 10",""," ",""
"Vitvi05g01963","",1.20643909650724,"2 x 10",""," ",""
"Vitvi12g00857","Vitvi12g00857",3.33642770057997,"2 x 10","","12 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi00g01742","",0.881650620060013,"2 x 10",""," ",""
"Vitvi16g02112","",0.88128127088015,"2 x 10",""," ",""
"Vitvi16g00908","",2.25619097524279,"2 x 10",""," ",""
"Vitvi01g00149","Vitvi01g00149",3.26045406141613,"3 x 10","","1 ","Catalysis of the reaction: R-X + glutathione = H-X + R-S-glutathione. R may be an aliphatic, aromatic or heterocyclic group; X may be a sulfate, nitrile or halide group."
"Vitvi06g01283","Vitvi06g01283",2.31544805207382,"3 x 10","","6 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi07g01881","Vitvi07g01881",0.794247267831554,"3 x 10","","7 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g02246","Vitvi08g02246",3.34586857699064,"3 x 10","","8 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi08g00227","Vitvi08g00227",3.79508906602639,"3 x 10","","8 ",""
"Vitvi08g00667","Vitvi08g00667",4.11510202177896,"3 x 10","","8 ","Binding to FAD, flavin-adenine dinucleotide, the coenzyme or the prosthetic group of various flavoprotein oxidoreductase enzymes, in either the oxidized form, FAD, or the reduced form, FADH2."
"Vitvi12g02641","Vitvi12g02641",1.13388801038811,"3 x 10","","12 ","Binding to ADP, adenosine 5'-diphosphate."
"Vitvi19g00068","Vitvi19g00068",0.834504111418986,"3 x 10","","19 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi02g01399","Vitvi02g01399",4.00539689465829,"4 x 10","","2 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi03g00295","Vitvi03g00295",1.07268786598321,"4 x 10","","3 ",""
"Vitvi15g01089","Vitvi15g01089",0.799759565464996,"4 x 10","","15 ","A semiautonomous, self replicating organelle that occurs in varying numbers, shapes, and sizes in the cytoplasm of virtually all eukaryotic cells. It is notably the site of tissue respiration."
"Vitvi16g00528","",1.02185852940811,"4 x 10",""," ",""
"Vitvi18g01376","Vitvi18g01376",1.20946129861655,"4 x 10","","18 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi19g00760","Vitvi19g00760",5.27451073534038,"4 x 10","","19 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi01g00295","Vitvi01g00295",3.09659717432546,"5 x 10","","1 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi02g01395","",2.99391308907935,"5 x 10",""," ",""
"Vitvi02g01423","Vitvi02g01423",2.23493674906515,"5 x 10","","2 ","Binding to an RNA molecule or a portion thereof."
"Vitvi04g00080","Vitvi04g00080",3.11077329455598,"5 x 10","","4 ","Binding to a calcium ion (Ca2+)."
"Vitvi14g00980","Vitvi14g00980",3.32928329148629,"5 x 10","","14 ","The part of the cytoplasm that does not contain organelles but which does contain other particulate matter, such as protein complexes."
"Vitvi18g00117","Vitvi18g00117",2.59151970738162,"5 x 10","","18 ",""
"Vitvi18g03146","",1.18972872845758,"5 x 10",""," ",""
"Vitvi00g01597","",1.09537695200574,"6 x 10",""," ",""
"Vitvi02g01703","",1.0949887413403,"6 x 10",""," ",""
"Vitvi07g02139","",2.67240661924864,"6 x 10",""," ",""
"Vitvi07g00034","Vitvi07g00034",3.63866913614367,"6 x 10","","7 ","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi08g02192","Vitvi08g02192",1.43756077366992,"6 x 10","","8 ","Binding to a protein."
"Vitvi09g00294","",0.831204251839751,"6 x 10",""," ",""
"Vitvi09g01597","Vitvi09g01597",3.32608540106018,"6 x 10","","9 ","Catalysis of the reaction: acyl-CoA + H2O = CoA + a carboxylate."
"Vitvi13g00055","Vitvi13g00055",1.88388017246868,"6 x 10","","13 ","Catalysis of an oxidation-reduction (redox) reaction, a reversible chemical reaction in which the oxidation state of an atom or atoms within a molecule is altered. One substrate acts as a hydrogen or electron donor and becomes oxidized, while the other acts as hydrogen or electron acceptor and becomes reduced."
"Vitvi14g00598","Vitvi14g00598",0.919634633853548,"6 x 10","","14 ","Catalysis of the hydrolysis of various bonds, e.g. C-O, C-N, C-C, phosphoric anhydride bonds, etc."
"Vitvi17g00196","Vitvi17g00196",3.79692107575398,"6 x 10","","17 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi17g00870","Vitvi17g00870",3.55692841566787,"6 x 10","","17 ","A part of a cellular organism that is either an immaterial entity or a material entity with granularity above the level of a protein complex but below that of an anatomical system. Or, a substance produced by a cellular organism with granularity above the level of a protein complex."
"Vitvi19g00070","Vitvi19g00070",2.8987244880317,"6 x 10","","19 ","Binding to GTP, guanosine triphosphate."
"Vitvi00g02212","",1.8663066176238,"7 x 10",""," ",""
"Vitvi07g03142","",1.8660237404295,"7 x 10",""," ",""
"Vitvi09g00763","Vitvi09g00763",2.87347470469686,"7 x 10","","9 ","The contents of a cell excluding the plasma membrane and nucleus, but including other subcellular structures."
"Vitvi10g01072","Vitvi10g01072",0.791004619114882,"7 x 10","","10 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi10g01541","Vitvi10g01541",2.73144413126982,"7 x 10","","10 ","Catalysis of the hydrolysis of internal, alpha-peptide bonds in a polypeptide chain by a mechanism in which a water molecule bound by the side chains of aspartic residues at the active center acts as a nucleophile."
"Vitvi11g01332","",0.660241858303145,"7 x 10",""," ",""
"Vitvi12g00200","Vitvi12g00200",2.60818655168707,"7 x 10","","12 ","The formation of a protein dimer, a macromolecular structure consists of two noncovalently associated identical or nonidentical subunits."
"Vitvi10g00453","Vitvi10g00453",0.929043665480098,"8 x 10","","10 ","Binding to a metal ion."
"Vitvi09g01164","Vitvi09g01164",5.11512485868236,"8 x 10","","9 ","Any process that results in a change in state or activity of a cell or an organism (in terms of movement, secretion, enzyme production, gene expression, etc.) as a result of a light stimulus, electromagnetic radiation of wavelengths classified as infrared, visible or ultraviolet light."
"Vitvi09g01373","Vitvi09g01373",1.63324793701432,"8 x 10","","9 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi11g00102","Vitvi11g00102",3.06513044627467,"8 x 10","","11 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi12g00691","Vitvi12g00691",1.62445391625441,"8 x 10","","12 ","Binding to a protein."
