"","Rank","ID","Symbol","mean expression","SD","max delta e","min delta e","correlation","->t.score","->p.value","Metagene","Chromosome","Description"
"Vitvi06g00306",109,"Vitvi06g00306","Vitvi06g00306",1.29036349692432,0.526998718494892,0.771619369044552,-1.1738367816166,0.55984245656362,5.10104101544106,"2.01256171372677e-06      .","12 x 40","6 ","A lipid bilayer along with all the proteins and protein complexes embedded in it an attached to it."
"Vitvi19g00014",110,"Vitvi19g00014","Vitvi19g00014",1.8082818493914,0.415950388365832,0.765227875839678,-1.15285281466181,0.571963500532414,5.2643422044326,"1.11038484018611e-06      .","13 x 40","19 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi04g00508",111,"Vitvi04g00508","Vitvi04g00508",1.28843637556872,0.434870381185442,0.76187180001042,-1.14427285980553,0.597472165738902,5.62523276069586,"2.93009155716284e-07      .","13 x 40","4 ","Catalysis of the reaction: UDP-glucose + D-fructose = UDP + sucrose."
"Vitvi06g01407",112,"Vitvi06g01407","Vitvi06g01407",4.18722431833674,0.442055087713384,0.724744950761646,-1.31216896674478,0.531279477439721,4.73452323569959,"7.4775911420577e-06      .","15 x 40","6 ","Catalysis of a biochemical reaction at physiological temperatures. In biologically catalyzed reactions, the reactants are known as substrates, and the catalysts are naturally occurring macromolecular substances known as enzymes. Enzymes possess specific binding sites for substrates, and are usually composed wholly or largely of protein, but RNA that has catalytic activity (ribozyme) is often also regarded as enzymatic."
"Vitvi09g01456",113,"Vitvi09g01456","Vitvi09g01456",4.46541298904696,0.401613967346883,0.711741327604253,-0.990488464105262,0.693721995231833,7.27183345848728,"5.60494206602868e-10      .","15 x 40","9 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi10g00094",114,"Vitvi10g00094","Vitvi10g00094",4.7992848749736,0.351228373006422,0.703566712373454,-1.15392164148064,0.690006039168269,7.19729949225827,"7.46161465947637e-10      .","13 x 40","10 ","Catalysis of the transfer of a glycosyl group from one compound (donor) to another (acceptor)."
"Vitvi16g00033",115,"Vitvi16g00033","Vitvi16g00033",3.60287315363822,0.47213772086025,0.700364780824762,-1.20196814315222,0.583434423103149,5.42360118058751,"6.18550301534349e-07      .","14 x 40","16 ","The component of a membrane consisting of the gene products and protein complexes having at least some part of their peptide sequence embedded in the hydrophobic region of the membrane."
"Vitvi02g01695",116,"Vitvi02g01695","Vitvi02g01695",3.30002367702817,0.416335998828312,0.659323597493218,-1.24494977254366,0.683415406963065,7.06775776771345,"1.22674337355022e-09      .","14 x 40","2 ","The chemical reactions and pathways resulting in the formation of a fatty acid, any of the aliphatic monocarboxylic acids that can be liberated by hydrolysis from naturally occurring fats and oils. Fatty acids are predominantly straight-chain acids of 4 to 24 carbon atoms, which may be saturated or unsaturated; branched fatty acids and hydroxy fatty acids also occur, and very long chain acids of over 30 carbons are found in waxes."
"Vitvi00g00214",117,"Vitvi00g00214","",3.30020042346678,0.416331928186374,0.659235046272231,-1.24512651898228,0.683434838377385,7.06813485028745,"1.22496968124608e-09      .","14 x 40"," ",""
"Vitvi02g01139",118,"Vitvi02g01139","Vitvi02g01139",5.62071239340691,0.347018334351742,0.654577172551575,-0.825426792825765,0.77403942975706,9.23001797948088,"3.25739435425021e-13      .","13 x 39","2 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi02g00549",119,"Vitvi02g00549","Vitvi02g00549",2.54126132264261,0.348959637107621,0.65195013039034,-0.888894781106251,0.526306443934706,4.67311542308027,"9.28536801469981e-06      .","12 x 39","2 ","Catalysis of the reaction: S-adenosyl-L-methionine + (protein)-arginine = S-adenosyl-L-homocysteine + (protein)-N-methyl-arginine."
"Vitvi13g01536",120,"Vitvi13g01536","Vitvi13g01536",3.55356515995122,0.331929376367344,0.612042992948762,-1.21702669214039,0.650562013436508,6.46733189277247,"1.22126172508175e-08      .","12 x 39","13 ","Any process involved in the conversion of a primary small nuclear RNA (snRNA) transcript into a mature snRNA molecule. The primary function of snRNAs is processing pre-messenger RNA in the nucleus. They have also been shown to aid in the regulation of transcription factors (7SK RNA) or RNA polymerase II (B2 RNA), and maintaining the telomeres."
"Vitvi08g02185",121,"Vitvi08g02185","Vitvi08g02185",2.78028752661184,0.346808765120002,0.607153498761053,-0.887713547279793,0.659254596244887,6.61940686876852,"6.83404155488176e-09      .","12 x 39","8 ","Go 0000778"
"Vitvi09g00082",122,"Vitvi09g00082","Vitvi09g00082",2.93080843065285,0.410825348792347,0.599591469573057,-1.04128071128562,0.719175849569147,7.81439113407179,"6.99224012024047e-11      .","12 x 40","9 ","A membrane-bounded organelle of eukaryotic cells in which chromosomes are housed and replicated. In most cells, the nucleus contains all of the cell's chromosomes except the organellar chromosomes, and is the site of RNA synthesis and processing. In some species, or in specialized cell types, RNA metabolism or DNA replication may be absent."
"Vitvi04g00661",123,"Vitvi04g00661","Vitvi04g00661",2.5121221446463,0.386478441222,0.587098525215352,-1.12690665509224,0.593339089822411,5.56506279606222,"3.66453348110696e-07      .","12 x 39","4 ","Binding to ATP, adenosine 5'-triphosphate, a universally important coenzyme and enzyme regulator."
"Vitvi11g01214",124,"Vitvi11g01214","",1.93846419242923,0.357270380351685,0.58274053407385,-0.914615863445278,0.537463662590387,4.81183998326871,"5.68502313846864e-06      .","14 x 39"," ",""
"Vitvi09g00570",125,"Vitvi09g00570","Vitvi09g00570",3.16871148582625,0.362801420216708,0.525563244370674,-0.984528116927777,0.793632902212272,9.84849985697045,"3.28626015289046e-14      .","13 x 40","9 ","Catalysis of the transfer of a group, e.g. a methyl group, glycosyl group, acyl group, phosphorus-containing, or other groups, from one compound (generally regarded as the donor) to another compound (generally regarded as the acceptor). Transferase is the systematic name for any enzyme of EC class 2."
